"Ref","Value","Footprint","Datasheet","Manufacturer","Vendor"
"C1","22u","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","",""
"C2","0.1u","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","",""
"C3","0.1u","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","",""
"C4","10n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","",""
"C5","10n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~","",""
"C6","4u7","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","",""
"D1","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","",""
"D2","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","",""
"D3","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","",""
"D4","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","",""
"D5","D","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","~","",""
"D6","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"D7","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"D8","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"D9","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"D10","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"D11","LED","LED_THT:LED_D5.0mm_FlatTop","~","",""
"J1","Panel","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","",""
"J2","Power","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","",""
"Q1","BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"Q2","BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"Q3","BC547","Package_TO_SOT_THT:TO-92_Inline","http://www.fairchildsemi.com/ds/BC/BC547.pdf","",""
"R1","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R2","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R3","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","",""
"R4","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R5","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R6","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R7","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R8","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R9","4k7","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R10","100","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R11","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R12","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R13","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R14","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R15","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"R16","150","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","",""
"RV1","10k","","~","",""
"RV2","1M","","~","",""
"RV3","1M","","~","",""
"RV4","1M","","~","",""
"U1","LM358","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf","",""
"U2","ICM7555","Package_DIP:DIP-8_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/icm7/icm7555-56.pdf","",""
