Reference, Quantity, Value, Footprint, Datasheet
C10 ,1,"1n","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C11 ,1,"0.001u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C12 ,1,"47p","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
C2 C1 ,2,"10u","Capacitor_THT:C_Radial_D5.0mm_H11.0mm_P2.00mm","~"
C3 ,1,"0.22u","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm","~"
C4 C7 C6 C5 C8 C9 ,6,"0.01u","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~"
D1 ,1,"D","Diode_THT:D_A-405_P7.62mm_Horizontal","~"
D6 D7 D8 D9 D5 D4 D3 D2 ,8,"LED","LED_THT:LED_D5.0mm_FlatTop","~"
J1 ,1,"EXP FM","Connector:Banana_Jack_1Pin","~"
J10 ,1,"Panel Power","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
J2 ,1,"LIN FM","Connector:Banana_Jack_1Pin","~"
J3 ,1,"CV (1V/OCT)","Connector:Banana_Jack_1Pin","~"
J4 ,1,"PWM","Connector:Banana_Jack_1Pin","~"
J5 ,1,"PANEL","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
J6 ,1,"Triangle","Connector:Banana_Jack_1Pin","~"
J7 ,1,"Sine","Connector:Banana_Jack_1Pin","~"
J8 ,1,"Pulse","Connector:Banana_Jack_1Pin","~"
J9 ,1,"POWER","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~"
Q1 ,1,"THAT340","Package_DIP:DIP-14_W7.62mm_Socket",""
Q2 Q3 ,2,"2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N3904.pdf"
R1 R4 R2 R15 R27 R6 ,6,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R10 ,1,"150k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R11 ,1,"2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R12 ,1,"47","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R13 ,1,"820","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R14 ,1,"22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R16 R23 R22 R18 R24 ,5,"10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R17 R26 R28 R33 ,4,"2.2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R19 ,1,"27k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R20 ,1,"390","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R25 R21 ,2,"18k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R3 ,1,"3M3","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R30 ,1,"5.1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R31 ,1,"12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R32 R36 ,2,"3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R34 R35 R37 R38 R39 R40 R41 R42 R43 R44 ,10,"1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R5 ,1,"1M","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R7 ,1,"330k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R8 ,1,"1M5","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
R9 R29 ,2,"2M2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
RV1 RV2 RV3 RV4 ,4,"100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
RV5 ,1,"100 - V/OCT Trim","Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal","~"
RV6 ,1,"100k - High Freq Trim","Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal","~"
RV7 ,1,"100k - Sine Round Trim","Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal","~"
RV8 ,1,"50k - Sine Symetrie Trim","Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal","~"
U1 ,1,"TL074","Package_DIP:DIP-14_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U2 ,1,"TL072","Package_DIP:DIP-8_W7.62mm_Socket","http://www.ti.com/lit/ds/symlink/tl071.pdf"
U3 ,1,"CA3080","Package_DIP:DIP-8_W7.62mm_Socket","http://www.intersil.com/content/dam/Intersil/documents/ca30/ca3080-a.pdf"
