Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Spice_Primitive,Spice_Model,Spice_Netlist_Enabled,Spice_Node_Sequence
1,Unpolarized capacitor,C,C9 C11,560p,,2, ,~,,,,
2,Unpolarized capacitor,C,C6 C10 C13,0.01u,,3, ,~,C,0.01u,N,
3,Unpolarized capacitor,C,C3 C4 C7 C8,0.1u,,4, ,~,C,0.1,N,
4,Unpolarized capacitor,C,C5 C12 C14,2.2u,,3, ,~,,,,
5,Polarized capacitor,CP,C1 C2,22u,CP_Radial_D6.3mm_P2.50mm,2, ,~,C,22u,N,
6,Diode,D,D1 D2 D3 D4 D5 D6 D7 D8 D9,D,,9, ,~,D,D1N4148,Y,2 1
7,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J3,AudioJack2_SwitchT,,2, ,~,X,TRIGGER OUT,N,
8,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J2,IDC Header,IDC-Header_2x05_P2.54mm_Vertical,1, ,~,J,IDC Header,N,
9,Resistor,R,R6 R7,10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2, ,~,R,10,N,
10,Resistor,R,R20 R23,1k,,2, ,~,,,,
11,Resistor,R,R24,1.8k,,1, ,~,,,,
12,Resistor,R,R9 R13,2.2k,,2, ,~,,,,
13,Resistor,R,R18 R22,2.7k,,2, ,~,,,,
14,Resistor,R,R11 R15,10k,,2, ,~,,,,
15,Resistor,R,R12 R16,"2,2k",,2, ,~,,,,
16,Resistor,R,R2 R5,27k,,2, ,~,,,,
17,Resistor,R,R4 R10,47k,,2, ,~,,,,
18,Resistor,R,R19 R21,56k,,2, ,~,,,,
19,Resistor,R,R14,100k,,1, ,~,,,,
20,Resistor,R,R3,390k,,1, ,~,,,,
21,Resistor,R,R1 R8,470k,,2, ,~,,,,
22,Resistor,R,R17,1Meg,,1, ,~,,,,
23,Potentiometer,R_POT,RV1,100k,,1, ,~,X,POT1,Y,
24,Potentiometer,R_POT,RV2,500k,,1, ,~,X,POT2,Y,
25,Potentiometer,R_POT,RV3 RV4,1M,,2, ,~,X,POT1 POT2,Y,
26,"Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",LM324,U1,LM324,,1, ,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf,X,LM324c,Y,
27,"Timer, 555 compatible, SOIC-8",LM555xM,U3 U4,LM555xM,SOIC-8_3.9x4.9mm_P1.27mm,2, ,http://www.ti.com/lit/ds/symlink/lm555.pdf,X,UA555,Y,6 5 2 4 3 7 8
28,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U2,TL072,,1, ,http://www.ti.com/lit/ds/symlink/tl071.pdf,X,TL072c,Y,
