Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Multilayer Ceramic Capacitors MLCC C0G (NP0), L=4 mm,  W=2.5 mm, P= 2.5 mm",C,C42 C46,47p,C_Disc_D3.8mm_W2.6mm_P2.50mm,2, ,~
2,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C39 C43 C44 C45,220p,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
3,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C33 C36,680p,C_Rect_L7.0mm_W4.5mm_P5.00mm,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
4,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C34 C35,1n,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
5,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C27 C28,2n2,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
6,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C17 C18 C25 C26,4n7,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
7,"Film Capacitors Polypropylene (L=7.2 mm W=3  mm, P=5 mm )",C,C15 C16,10n,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_MKP_2-1139746.pdf
8,"Film Capacitors Polypropylene (L=7.2 mm W=3  mm, P=5 mm )",C,C9 C10,22n,C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_MKP_2-1139746.pdf
9,"Film Capacitors Polypropylene (L=7.2 mm W=3.5  mm, P=5 mm )",C,C7 C8,47n,C_Rect_L7.2mm_W3.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_MKP_2-1139746.pdf
10,"Multilayer Ceramic Capacitors MLCC (50V, L=4 mm, W=2.5 mm, LS=2.5 mm)",C,C3 C4 C5 C6 C11 C12 C13 C14 C21 C22 C23 C24 C29 C30 C31 C32 C37 C38 C40 C41,0.1u,C_Disc_D3.8mm_W2.6mm_P2.50mm,20, ,~
