Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C3 C4 C5 C6 C7 C8 C9 C10 C11,0.1u,C_Disc_D3.4mm_W2.1mm_P2.50mm,9, ,~
2,Polarized capacitor,CP,C1 C2,22u,CP_Radial_D6.3mm_P2.50mm,2, ,~
3,"Generic connector, single row, 01x19, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x19_Female,J2,Conn_01x19_Female,,1, ,~
4,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J1,IDC Header,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
5,Resistor,R,R1 R2,10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2, ,~
6,Resistor,R,R7 R8 R9 R10 R13 R14 R15 R16 R17,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,9, ,~
7,Resistor,R,R5 R6 R12,17k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,3, ,~
8,Resistor,R,R3 R4 R11,22k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3, ,~
9,Hex Schmitt trigger inverter,40106,U3 U5,40106,DIP-14_W7.62mm_Socket,2, ,https://assets.nexperia.com/documents/data-sheet/HEF40106B.pdf
10,"Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14",LM324,U8 U9 U10,LM324,DIP-14_W7.62mm_Socket,3, ,http://www.ti.com/lit/ds/symlink/lm2902-n.pdf
11,2-Channel 12-Bit D/A Converters with SPI Interface and Internal Reference (2.048V),MCP4822,U1 U2 U4 U6 U7,MCP4822,DIP-8_W7.62mm_Socket,5, ,http://ww1.microchip.com/downloads/en/DeviceDoc/20002249B.pdf
12,,STM32_BluePill,U11,STM32_BluePill,,1, ,
