Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Spice_Primitive,Spice_Model,Spice_Netlist_Enabled,Spice_Node_Sequence
1,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D1 D2 D5 D6 D9 D10,1N4148W,D_SOD-123,6, ,https://www.vishay.com/docs/85748/1n4148w.pdf,,,,
2,LED 3mm low current,LED,D3 D4 D7 D8,LED (Green),LED_D3.0mm,4, ,https://www.mouser.ch/datasheet/2/216/WP710A10LZGCK-535717.pdf,,,,
3,LED 3mm low current,LED,D11 D12,LED (Red),LED_D3.0mm,2, ,https://www.mouser.ch/datasheet/2/216/WP710A10LSECK-J3-535625.pdf,,,,
4,Board to Board Connectors (2.54 mm),Conn_01x05_Male,J4,01x05 Male,PinSocket_1x05_P2.54mm_Vertical,1, ,~,,,,
5,Board to Board Connectors (2.54 mm),Conn_01x03_Male,J8,Conn_01x03_Male,PinSocket_1x03_P2.54mm_Vertical,1, ,~,,,,
6,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J1 J2 J3 J5 J6 J7,IN_X,Jack_3.5mm_WQP-PJ398SM_Vertical,6, ,~,X,IN_1 OUT,Y,S T
7,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1 Q2 Q3 Q4 Q5 Q6,MMBT3904,SOT-23,6, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,,,,
8,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R1 R2,1k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~,,,,
9,Thick Film Resistors - SMD (0805),R,R5 R6 R9 R10 R13 R14,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6, ,~,,,,
10,Thick Film Resistors - SMD (0805),R,R3 R4 R7 R8 R11 R12,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6, ,~,,,,
11,Alpha 9 mm Pots – Vertical,R_POT,RV1 RV2 RV3 RV4,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4, ,~,X,RV1,Y,
