Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Polarized capacitor,CP,C1 C2,22u,CP_Radial_D6.3mm_P2.50mm,2, ,~
2,"100V 0.15A standard switching diode, DO-35",1N4148,D1,1N4148,D_DO-35_SOD27_P7.62mm_Horizontal,1, ,https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf
3,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J2 J3 J4,AudioJack2_SwitchT,,3, ,~
4,"Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x05_Odd_Even,J1,IDC Header,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
5,Resistor,R,R1 R2,10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2, ,~
6,Resistor,R,R16,3.3k,,1, ,~
7,Resistor,R,R9,47k,,1, ,~
8,Resistor,R,R3 R8 R10 R11 R12 R13 R14 R15 R17 R18,100k,,10, ,~
9,Resistor,R,R4 R5 R6 R7,220k,,4, ,~
10,Potentiometer,R_POT,RV1 RV2 RV3 RV4,100k,,4, ,~
11,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U3 U4 U5 U6,TL072,,6, ,http://www.ti.com/lit/ds/symlink/tl071.pdf
