ERC report (Tue 05 Oct 2021 08:03:04 AM UTC, Encoding UTF8 )

***** Sheet /
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(227.33 mm, 78.74 mm): Pin 5 (Input) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(214.63 mm, 123.19 mm): Pin 3 (Input) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(214.63 mm, 118.11 mm): Pin 2 (Input) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(229.87 mm, 120.65 mm): Pin 1 (Output) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(233.68 mm, 100.33 mm): Pin 7 (Output) of component U6 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(248.92 mm, 102.87 mm): Pin 6 (Input) of component U6 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(248.92 mm, 97.79 mm): Pin 5 (Input) of component U6 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(242.57 mm, 76.20 mm): Pin 7 (Output) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(227.33 mm, 73.66 mm): Pin 6 (Input) of component U5 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(205.74 mm, 76.20 mm): Pin 7 (Output) of component U4 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(190.50 mm, 73.66 mm): Pin 6 (Input) of component U4 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(190.50 mm, 78.74 mm): Pin 5 (Input) of component U4 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(33.02 mm, 29.21 mm): Pin TN (Passive) of component J2 is unconnected.
ErrType(2): Pin not connected (use a "no connection" flag to suppress this error)
    @(33.02 mm, 24.13 mm): Pin S (Passive) of component J2 is unconnected.

 ** ERC messages: 14  Errors 0  Warnings 14
