Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Spice_Primitive,Spice_Model,Spice_Netlist_Enabled
1,Multilayer Ceramic Capacitors MLCC,C,C4 C5 C6 C7,0.1u,C_Disc_D3.4mm_W2.1mm_P2.50mm,4, ,~,C,0.1u,N
2,"Aluminium Electrolytic Capacitor, 35V, D=5 mm, LS=2 mm",CP,C1 C2,22u,CP_Radial_D5.0mm_P2.00mm,2, ,~,C,22u,N
3,Polarized capacitor,CP,C3 C8 C9 C10 C11 C12,47u (NP),PinSocket_1x02_P2.54mm_Vertical,6, ,~,C,47u,Y
4,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02_Female,J6,Conn_01x02_Female,PinSocket_1x02_P2.54mm_Vertical,1, ,~,J,Conn_01x02_Female,N
5,"Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x04_Female,J7 J8 J11,Conn_01x04_Female,PinSocket_1x04_P2.54mm_Vertical,3, ,~,J,Conn_01x04_Female,N
6,"Pin Header IDC, 10 Pos, 2.54mm",Conn_02x05_Odd_Even,J1,IDC Header,IDC-Header_2x05_P2.54mm_Vertical,1, ,~,J,IDC Header,N
7,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J2 J3 J4 J5 J9 J10,IN,Jack_3.5mm_WQP-PJ398SM_Vertical,6, ,~,X,IN_1 IN_2 IN_3 IN_4 OUT_1 OUT_2,Y
8,Resistor,R,R1 R2,10,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2, ,~,R,10,N
9,Resistor,R,R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R13 R14,100k,PinSocket_1x02_P2.54mm_Vertical,12, ,~,,,
10,Potentiometer,R_POT,RV5 RV6,100k,Potentiometer_Bourns_3296W_Vertical,2, ,~,X,Vref1 Vref2,Y
11,Potentiometer,R_POT,RV1 RV2 RV3 RV4,R_POT,Potentiometer_Bourns_PTV09A-1_Single_Vertical,4, ,~,X,voltage_divider_1 voltage_divider_2 voltage_divider_3 voltage_divider_4,Y
12,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2,TL072,DIP-8_W7.62mm_Socket,2, ,http://www.ti.com/lit/ds/symlink/tl071.pdf,X,TL072c,Y
