Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,Spice_Primitive,Spice_Model,Spice_Netlist_Enabled,Spice_Node_Sequence
1,Unpolarized capacitor,C,C10,100p,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1, ,~,,,,
2,Multilayer Ceramic Capacitors MLCC,C,C3 C4 C5 C6 C7 C8,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,6, ,~,C,0.1u,N,
3,Unpolarized capacitor,C,C9,10u,C_1210_3225Metric_Pad1.33x2.70mm_HandSolder,1, ,~,,,,
4,"Aluminium Electrolytic Capacitor, 35V, D=5 mm, LS=2 mm",CP,C1 C2,22u,CP_Radial_D5.0mm_P2.00mm,2, ,~,C,22u,N,
5,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D1 D3 D5 D7 D9,1N4148W,D_SOD-123,5, ,https://www.vishay.com/docs/85748/1n4148w.pdf,D,D1N4148,Y,
6,LED 3mm low current,LED,D2 D4 D6 D8 D10,LED,LED_D3.0mm,5, ,~,D,LED2 LED1,Y,
7,"Pin Header IDC, 10 Pos, 2.54mm",Conn_02x05_Odd_Even,J1,IDC Header,IDC-Header_2x05_P2.54mm_Vertical,1, ,~,J,IDC Header,N,
8,"Audio Jack, 2 Poles (Mono / TS), Switched T Pole (Normalling)",AudioJack2_SwitchT,J2 J3 J4 J5 J6 J7 J8 J9 J10,IN,Jack_3.5mm_WQP-PJ398SM_Vertical,9, ,~,X,IN_1 IN_2 IN_3 IN_4 OUT_1 OUT_2 OUT_3 OUT_4,Y,
9,"0.2A Ic, 40V Vce, Small Signal NPN Transistor, SOT-23",MMBT3904,Q1 Q2 Q3 Q4 Q5,MMBT3904,SOT-23,5, ,https://www.onsemi.com/pub/Collateral/2N3903-D.PDF,Q,BC846B,Y,3 1 2 3 2 1
10,Resistor,R,R1 R2,10,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,2, ,~,R,10,N,
11,Resistor,R,R19 R20 R21 R22 R39,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,5, ,~,,,,
12,Resistor,R,R30 R37,5k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2, ,~,,,,
13,Resistor,R,R29 R34 R40,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,3, ,~,,,,
14,Resistor,R,R3 R4 R5 R6 R7 R8 R9 R10,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,8, ,~,,,,
15,Resistor,R,R11 R12 R13 R14 R15 R16 R17 R18 R23 R24 R25 R26 R27 R28 R31 R32 R33 R35 R36 R38,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,20, ,~,,,,
16,Potentiometer,R_POT,RV1 RV2 RV3 RV4,100k,Potentiometer_Alpha_RD901F-40-00D_Single_Vertical,4, ,~,X,voltage_divider_1 voltage_divider_2 voltage_divider_3 voltage_divider_4,Y,
17,"Dual SoundPlus High Performance Audio Operational Amplifiers, DIP-8/SOIC-8",OPA2134,U1 U2 U3,OPA2134,SOIC-8_3.9x4.9mm_P1.27mm,3, ,http://www.ti.com/lit/ds/symlink/opa134.pdf,X,OPA2134d,Y,
