Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C4,220p,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
2,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C6,1n,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
3,"Film Capacitors Polypropylene (L=7.2 mm W=4.5 mm, P=5 mm )",C,C12,2.2n,C_Rect_L7.2mm_W4.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
4,"Film Capacitors Polypropylene (L=7.2 mm W=5.5 mm, P=5 mm )",C,C5,4.7n,C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,1, ,https://www.mouser.ch/datasheet/2/440/e_WIMA_FKP_2-1139852.pdf
5,"Multilayer Ceramic Capacitors MLCC (50V, L=4 mm, W=2.5 mm, LS=2.5 mm)",C,C7 C8 C10 C11 C13 C14,0.1u,C_Disc_D3.4mm_W2.1mm_P2.50mm,6, ,~
6,"Aluminium Electrolytic Capacitors (50V, D=6.3 mm, LS=2.5 mm)",CP,C3,1u,CP_Radial_D6.3mm_P2.50mm,1, ,~
7,"Aluminium Electrolytic Capacitors (50V, D=6.3 mm, LS=2.5 mm)",CP,C1 C2,22u,CP_Radial_D6.3mm_P2.50mm,2, ,~
8,Zener diode,D_Zener,D1,3.9V,D_DO-35_SOD27_P7.62mm_Horizontal,1, ,~
9,Board to Board Connectors (2.54 mm),Conn_01x06_Female,J2,01x06 Female,PinSocket_1x06_P2.54mm_Vertical,1, ,~
10,Board to Board Connectors (2.54 mm),Conn_01x10_Female,J3,01x10 Female,PinSocket_1x10_P2.54mm_Vertical,1, ,~
11,Pin Header IDC (2.54mm),Conn_02x05_Odd_Even,J1,10 Pos,IDC-Header_2x05_P2.54mm_Vertical,1, ,~
12,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R1 R2,10,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
13,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R15 R21,470,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
14,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R9 R18 R23 R25 R26,10k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,5, ,~
15,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R5 R22,15k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,2, ,~
16,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R19,33k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
17,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R3 R4 R7 R11 R12 R13 R14 R17 R20,100k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,9, ,~
18,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R6,150k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
19,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R16,470k,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
20,"Metal Film Resistors - Through Hole (L=3.6 mm, D=1.6 mm, 1%)",R,R8,4.7M,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1, ,~
21,"Trimmer Resistor, Bourns 3339P",R_POT_TRIM,RV5,20k,Potentiometer_Bourns_3339P_Vertical,1, ,~
22,"Dual Low-Noise JFET-Input Operational Amplifiers, DIP-8/SOIC-8",TL072,U1 U2 U3,TL072,DIP-8_W7.62mm_Socket,3, ,http://www.ti.com/lit/ds/symlink/tl071.pdf
23,Low Cost Axial Vactrols,VTL5C,U4 U5,VTL5C,PerkinElmer_VTL5C,2, ,http://www.qsl.net/wa1ion/vactrol/vactrol.pdf
