Qty,Reference(s),Value,Footprint
2,"C1, C2",10u,"Electrolytic Capacitors - Radial (D:5.0mm, P:2.50mm)"
2,"C3, C4",4u7,"Electrolytic Capacitors - Radial (D:5.0mm, P:2.50mm)"
2,"C5, C6",47p,"Ceramic Capacitors (L:4mm, P:2.50mm)"
10,"C7, C8, C9, C10, C11, C12, C13, C16, C17, C18",0.1u,"Ceramic Capacitors (L:4mm, P:2.50mm)"
2,"C14, C15",0.47u,"Ceramic Capacitors (L:4mm, P:2.50mm)"
4,"D1, D2, D3, D4",1N4148,Diode
1,J1,10 Pins / 2 Rows,"PCB IDC Socket (P2.54mm, Vertical)"
1,J2,16 Pins / 1 Row,Pin Socket Connector (P2.54mm)
6,"R3, R4, R7, R8, R13, R14",5k,"Resistor (L:6.3mm, D:2.5mm)"
6,"R5, R6, R11, R12, R15, R16",10k,"Resistor (L:6.3mm, D:2.5mm)"
2,"R9, R10",1k,"Resistor (L:6.3mm, D:2.5mm)"
6,"R17, R18, R19, R20, R22, R24",47k,"Resistor (L:6.3mm, D:2.5mm)"
4,"R21, R23, R25, R26",100k,"Resistor (L:6.3mm, D:2.5mm)"
2,"R27, R28",3k3,"Resistor (L:6.3mm, D:2.5mm)"
2,"RV1, RV2",10k,Potentiometer_THT:Potentiometer_Bourns_3296Z_Horizontal
2,"U1, U2",NE5532,Operational Amplifiers - Op Amps
1,U3,TL074,Operational Amplifiers - Op Amps
2,"U4, U5",lm3916,LED Lighting Drivers
