Qty,Reference(s),Value,Footprint
4,"C1, C2, C3, C4",4u7,"Electrolytic Capacitors - Radial (D:5.0mm, P:2.50mm)"
10,"D1, D2, D3, D4, D5, D6, D7, D8, D9, D10",LED,LED_D5.0mm
1,J1,#1,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
1,J2,#2,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
1,J3,#3,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
1,J4,#4,elektrophon:Jack_3.5mm_WQP-PJ398SM_Vertical
1,J5,STEREO_OUT,elektrophon:Jack_3.5mm_WQP-PJ301BM_Vertical
1,J6,Conn_01x16_Male,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical
16,"R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16",10k,"Resistor (L:6.3mm, D:2.5mm) "
4,"RV1, RV2, RV3, RV4",10k LOG,elektrophon:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical
4,"RV5, RV6, RV7, RV8",25k,elektrophon:Potentiometer_Alpha_RD901F-40-00D_Single_Vertical
