Qty,Reference(s),Value,Footprint
4,"C1, C2, C7, C12",10u,"Electrolytic Capacitors - Radial (D:5.0mm, P:2.50mm)"
2,"C3, C4",47u,"Electrolytic Capacitors - Radial (D:5.0mm, P:2.50mm)"
2,"C5, C6",0.1u,"Ceramic Capacitors (L:4mm, P:2.50mm)"
1,C8,3n3,"Ceramic Capacitors (L:4mm, P:2.50mm)"
1,C9,1n,"Ceramic Capacitors (L:4mm, P:2.50mm)"
1,C10,47n,"Ceramic Capacitors (L:4mm, P:2.50mm)"
2,"C11, C13",10p,"Ceramic Capacitors (L:4mm, P:2.50mm)"
1,C12,10u,
2,"C14, C16",1u,"Ceramic Capacitors (L:5mm, P:2.50mm)"
1,C15,150n,"Ceramic Capacitors (L:5mm, P:5mm)"
1,J1,10 Pins / 2 Rows,"PCB IDC Socket (P2.54mm, Vertical)"
3,"Q1, Q2, Q3",BC547,[Bipolar Transistors - BJT NPN 45V 100mA](https://www.mouser.ch/datasheet/2/308/BC547-1118654.pdf)
1,R1,47k,"Resistor (L:6.3mm, D:2.5mm)"
1,R2,150k,"Resistor (L:6.3mm, D:2.5mm)"
1,R3,22,"Resistor (L:6.3mm, D:2.5mm)"
2,"R4, R19",10k,"Resistor (L:6.3mm, D:2.5mm)"
1,R5,82k,"Resistor (L:6.3mm, D:2.5mm)"
3,"R6, R16, R18",33k,"Resistor (L:6.3mm, D:2.5mm)"
1,R7,18k,"Resistor (L:6.3mm, D:2.5mm)"
1,R8,390k,"Resistor (L:6.3mm, D:2.5mm)"
1,R9,1M,"Resistor (L:6.3mm, D:2.5mm)"
1,R10,100k,"Resistor (L:6.3mm, D:2.5mm)"
1,R11,3k9,"Resistor (L:6.3mm, D:2.5mm)"
2,"R12, R15",470k,"Resistor (L:6.3mm, D:2.5mm)"
3,"R13, R17, R21",1k,"Resistor (L:6.3mm, D:2.5mm)"
1,R14,8k2,"Resistor (L:6.3mm, D:2.5mm)"
1,R20,220k,"Resistor (L:6.3mm, D:2.5mm)"
1,U1,LM324,[Quadruple operational amplifier](http://www.ti.com/lit/ds/symlink/lm324.pdf)
3,"U2, U3, U4",PJ302M,"Audio Jack 3.5mm (PJ302M, Vertical)](https://www.thonk.co.uk/shop/3-5mm-jacks/) "
